25																								
-18	20	5	-3	-19	-20	4	9	0	2	-11	-16	6	12	11	13	9	-14	13	-18	-19	4	8	18	-14
13	7	-9	-8	-15	17	3	-8	-5	4	-3	-3	-3	-17	-3	4	-6	-20	-5	6	-18	-10	-1	-15	-14
-10	-16	6	-6	-4	17	7	-19	-16	4	-9	5	-6	-15	-1	-4	18	16	-16	17	-8	13	14	-14	2
-8	9	14	-12	-8	6	-1	3	1	0	6	-7	16	13	2	1	-15	-15	5	-18	-9	7	-9	-5	-11
-9	-7	-13	6	6	3	7	-20	-12	-11	2	16	-9	2	12	-5	2	8	0	-13	6	-6	-20	-3	-1
16	-11	-1	14	-18	5	10	-3	2	20	-6	2	-13	-7	18	13	4	-5	11	-2	18	7	8	-7	-11
-13	0	-7	-8	8	20	14	-20	-5	-19	0	-9	6	8	-3	-16	-4	17	-10	4	-16	18	-12	20	0
-5	13	-10	-17	-6	2	-4	1	-4	3	-16	7	6	-18	-16	13	-17	-7	-1	17	-9	-16	10	-2	3
-10	-18	-4	-8	17	5	19	14	-12	10	-19	14	3	-5	19	-3	-11	-12	5	8	6	14	19	-17	-7
-20	10	-4	-5	17	-18	2	-9	-3	1	3	-16	15	-1	2	0	8	0	11	20	-10	17	-9	16	15
9	4	-18	-5	16	7	-6	-17	-17	-11	-18	-17	-1	4	-17	0	12	-2	8	14	14	10	17	14	18
-12	-6	-2	-17	-13	-9	4	20	-4	4	-10	13	13	-11	-10	9	3	10	-19	-6	10	11	-10	6	-17
7	-18	2	-8	-4	7	14	0	-2	13	14	-11	-3	-4	-11	19	-9	-3	-7	14	11	1	18	13	13
6	0	-6	19	18	-1	3	16	12	5	2	14	17	-3	-6	2	10	-14	-9	-6	14	-13	4	8	-5
12	-10	-6	16	13	17	17	20	3	-6	-18	16	9	-1	8	16	-10	14	-4	18	5	12	-15	4	9
20	-19	-8	-14	2	-17	16	4	-13	14	-20	-12	2	4	-13	9	-18	-11	-13	15	-1	-7	7	-10	9
-13	19	14	-8	6	7	7	17	-4	16	-7	18	16	20	17	1	14	-20	-19	-10	-20	-1	-20	-1	-15
-14	0	-13	14	-19	-4	14	18	-7	-17	20	-6	11	-15	-4	-14	-1	5	11	-6	12	3	-20	1	10
-3	-6	-13	7	-3	-11	-13	9	8	4	11	12	19	-15	10	7	8	-2	5	10	4	-20	-7	6	10
-16	6	-7	-9	-6	-1	19	0	-2	-8	-3	-16	16	9	20	9	-18	5	9	1	-10	1	-10	-1	-18
-17	-5	-13	-8	7	13	-4	-5	8	-6	13	-7	18	18	-8	5	11	-7	15	18	-10	1	-16	-17	-17
-11	11	19	-2	18	6	16	6	18	-16	-20	-11	-8	6	-15	-6	-15	-11	-1	5	-4	20	12	-14	20
-19	7	5	20	-1	-6	7	10	-2	-13	13	-14	14	-17	-8	15	14	-4	-17	-19	-1	14	8	2	4
3	15	-11	-5	19	2	10	-2	11	4	-17	-15	4	16	12	-11	-9	15	16	10	9	-2	-19	-16	9
9	9	18	19	14	-20	12	17	-6	9	7	-20	0	16	17	18	9	-12	14	14	-16	9	7	17	-5
